"code_product","year_month_full","margin"
"CA1160A",2017-10-01,107.53125
"CA1161V",2017-10-01,5.62875
"CA1162V",2017-10-01,4.04
"CA1163B",2017-10-01,13.66875
"CA1165A",2017-10-01,77.80625
"CA1166V",2017-10-01,35.69625
"CA1201A",2017-10-01,207.8005
"CA1202A",2017-10-01,206.403
"CA1301A",2017-10-01,284.74375
"CA1302A",2017-10-01,702.792
"CA1303A",2017-10-01,212.295
"PP2217B",2017-10-01,1.13375
"PP2218B",2017-10-01,-3.18
"PP2224B",2017-10-01,1.8575
"PP2272B",2017-10-01,3.88625
"AC1160T",2017-11-01,11.6725
"AC1201B",2017-11-01,29.3125
"AC1202B",2017-11-01,2.2625
"AC1203B",2017-11-01,5.5575
"AC1204B",2017-11-01,2.255
"AC3104B",2017-11-01,23.75625
"AC3192B",2017-11-01,30.1125
"AC3193B",2017-11-01,102.50625
"BT4001G",2017-11-01,9.705
"CA1148V",2017-11-01,62.9625
"CA1160A",2017-11-01,191.875
"CA1161V",2017-11-01,15.21125
"CA1162V",2017-11-01,3.4525
"CA1163B",2017-11-01,5.2575
"CA1165A",2017-11-01,122.3
"CA1166V",2017-11-01,41.68625
"CA1167V",2017-11-01,70.5025
"CA1201A",2017-11-01,93.9735
"CA1202A",2017-11-01,314.34825
"CA1301A",2017-11-01,412.126
"CA1302A",2017-11-01,806.91525
"CA1303A",2017-11-01,509.151
"PP2217B",2017-11-01,11.38875
"PP2218B",2017-11-01,8.34
"PP2224B",2017-11-01,7.66875
"PP2272B",2017-11-01,5.93375
"AC1160T",2017-12-01,4.94875
"AC1161T",2017-12-01,1.9725
"AC1201B",2017-12-01,33.8625
"AC1202B",2017-12-01,0.95
"AC1203B",2017-12-01,2.46375
"AC1204B",2017-12-01,-0.71
"AC3104B",2017-12-01,18.43125
"AC3192B",2017-12-01,30.69625
"AC3193B",2017-12-01,118.61375
"BT4001G",2017-12-01,9.71125
"CA1148V",2017-12-01,82.4625
"CA1160A",2017-12-01,303.00625
"CA1161V",2017-12-01,97.38125
"CA1162V",2017-12-01,14.21625
"CA1163B",2017-12-01,27.32
"CA1165A",2017-12-01,202.23125
"CA1166V",2017-12-01,10.1925
"CA1167V",2017-12-01,28.555
"CA1201A",2017-12-01,81.18825
"CA1202A",2017-12-01,370.506
"CA1301A",2017-12-01,183.49975
"CA1302A",2017-12-01,1148.47775
"CA1303A",2017-12-01,1294.241
"PP2217B",2017-12-01,7.4975
"PP2218B",2017-12-01,7.63375
"PP2224B",2017-12-01,4.07
"PP2272B",2017-12-01,3.7275
"AC1160T",2018-01-01,38.5125
"AC1161T",2018-01-01,6.68875
"AC1201B",2018-01-01,32.98375
"AC1202B",2018-01-01,3.10625
"AC1203B",2018-01-01,6.04875
"AC1204B",2018-01-01,2.57625
"AC3104B",2018-01-01,101.5375
"AC3191B",2018-01-01,4.10625
"AC3192B",2018-01-01,72.04125
"AC3193B",2018-01-01,184.46625
"BT4001G",2018-01-01,29.68375
"CA1148V",2018-01-01,109.85625
