Groupe,Libelle,Quantite,Mois,Annee,Marge_unitaire,Benefice,Proportion_benefice,Ratio,Ratio_pondere_benefice,Potentiel_croissance
CLT 7-12,BISCUITS SAVEUR CHOCOLAT,270,6,2020,1.36,367.2,0.005369682,,,
CLT 7-12,Boules de soja BBQ,126,6,2020,0.47,59.22,0.000865993,,,
CLT 7-12,Boules de soja chocolat,120,6,2020,0.47,56.4,0.000824755,,,
CLT 7-12,Boules de soja Oignons,120,6,2020,0.47,56.4,0.000824755,,,
CLT 7-12,CEREALES CHOCOLAT,690,6,2020,1.07,738.3,0.010796395,,,
CLT 7-12,CEREALES FRUITS ROUGES,114,6,2020,1.05,119.7,0.001750411,,,
CLT 7-12,CEREALES NATURE,54,6,2020,1.29,69.66,0.00101866,,,
CLT 7-12,Chili con carne,70,6,2020,0.89,62.3,0.000911033,,,
CLT 7-12,Colin sauce oseille et riz,0,6,2020,0.6,0,0,,,
CLT 7-12,Lasagnes,120,6,2020,0.84,100.8,0.00147403,,,
CLT 7-12,Noix de soja BBQ,160,6,2020,0.32,51.2,0.000748714,,,
CLT 7-12,Pâtes bolognaises,144,6,2020,0.79,113.76,0.001663549,,,
CLT 7-12,Poulet curry et son riz,110,6,2020,0.84,92.4,0.001351195,,,
CLT 7-12,Thé Silhouette+,60,6,2020,1.72,103.2,0.001509126,,,
CLT 7-12,Tisane CIRCULATION,90,6,2020,1.46,131.4,0.001921504,,,
CLT 7-12,Tisane DIGEST',30,6,2020,1.46,43.8,0.000640501,,,
CLT 7-12,BG-102 Brûleur ampoules,1840,7,2020,7.789,14331.76,0.233935219,,,
CLT 7-12,BG-103 Brûleur flacon,700,7,2020,7.351,5145.7,0.083992507,,,
CLT 7-12,BT-202 Booster,240,7,2020,4.4,1056,0.017236933,,,
CLT 7-12,CF-306 Confort féminin,30,7,2020,3.05,91.5,0.001493541,,,
CLT 7-12,CT-103 Chitosan,930,7,2020,3.71,3450.3,0.056318741,,,
