"code_product","year_month_full","amount"
"CA1159A",2021-04-01,379868.35
"CA1160A",2021-04-01,64776.01
"CA1161V",2021-04-01,8312.3
"CA1162V",2021-04-01,5940.55
"CA1163B",2021-04-01,5699.62
"CA1165A",2021-04-01,57564.73
"CA1166V",2021-04-01,8612.28
"CA1167V",2021-04-01,19224.39
"CA1201A",2021-04-01,72287.26
"CA1202A",2021-04-01,176089.77
"CA1301A",2021-04-01,234238.12
"CA1302A",2021-04-01,401156.48
"CA1303A",2021-04-01,203982.65
"CERCHOC",2021-04-01,27344.32
"CERFRUI",2021-04-01,8692.96
"CERNATU",2021-04-01,4778.65
"GLPSO",2021-04-01,24.09
"GOOM002",2021-04-01,9.16
"GOOM003",2021-04-01,5.83
"GOOM005",2021-04-01,305.08
"GOOM006",2021-04-01,0
"GOOS001",2021-04-01,0
"NEW1",2021-04-01,175.44
"PP2216",2021-04-01,478.45
"PP2217B",2021-04-01,4332.39
"PP2218B",2021-04-01,2582.93
"PP2224B",2021-04-01,2088.85
"PP2272B",2021-04-01,4493.69
"AC1160T",2021-05-01,2805.56
"AC1161T",2021-05-01,2253.28
"AC1163T",2021-05-01,6211.05
"AC1201B",2021-05-01,5731.6
"AC1202B",2021-05-01,1858.86
"AC1203B",2021-05-01,1517.39
"AC1204B",2021-05-01,1140.23
"AC3104B",2021-05-01,11127.99
"AC3105B",2021-05-01,2591.39
"AC3106B",2021-05-01,665.81
"AC3107B",2021-05-01,757.06
"AC3191B",2021-05-01,638.89
"AC3192B",2021-05-01,16323
"AC3193B",2021-05-01,33416.91
"ACCS009",2021-05-01,3.72
"AR00004",2021-05-01,0
"AR00067",2021-05-01,513.32
"AR00068",2021-05-01,67.52
"AR00069",2021-05-01,58.72
"ART0082",2021-05-01,49.47
"BOXDIG",2021-05-01,43.13
"BOXDT",2021-05-01,1050.31
"BOXESC",2021-05-01,8.52
"BOXESN",2021-05-01,2.13
"BOXH",2021-05-01,752.85
"BOXHAR",2021-05-01,9.94
"BOXSER",2021-05-01,133.74
"BOXSIL",2021-05-01,164.19
"BOXV",2021-05-01,405.58
"BOXVIT",2021-05-01,51.96
"BOXVP",2021-05-01,1739.72
"BT4001G",2021-05-01,3352.51
"CA1147",2021-05-01,3182.67
"CA1148V",2021-05-01,21276.2
"CA1159A",2021-05-01,353159.35
"CA1160A",2021-05-01,76279.95
"CA1161V",2021-05-01,7311.91
"CA1162V",2021-05-01,4432.24
"CA1163B",2021-05-01,4974.14
"CA1165A",2021-05-01,54737.48
"CA1166V",2021-05-01,7275.88
"CA1167V",2021-05-01,15207.77
