"year_month_full","code_product","Ranking","Ranking_inv"
2021-03-01,"CA1165A",8,53
2021-03-01,"CA1166V",15,46
2021-03-01,"CA1167V",12,49
2021-03-01,"CA1201A",6,55
2021-03-01,"CA1202A",5,56
2021-03-01,"CA1301A",3,58
2021-03-01,"CA1302A",2,59
2021-03-01,"CA1303A",4,57
2021-03-01,"CERCHOC",10,51
2021-03-01,"CERFRUI",16,45
2021-03-01,"CERNATU",21,40
2021-03-01,"GLPSO",55,6
2021-03-01,"GOOM002",56,5
2021-03-01,"GOOM003",57,4
2021-03-01,"GOOM005",45,16
2021-03-01,"GOOS001",60,1
2021-03-01,"LIVREC",58,3
2021-03-01,"NEW1",42,19
2021-03-01,"PP2216",40,21
2021-03-01,"PP2217B",24,37
2021-03-01,"PP2218B",29,32
2021-03-01,"PP2224B",31,30
2021-03-01,"PP2272B",23,38
2021-04-01,"AC1160T",25,36
2021-04-01,"AC1161T",29,32
2021-04-01,"AC1163T",18,43
2021-04-01,"AC1201B",20,41
2021-04-01,"AC1202B",32,29
2021-04-01,"AC1203B",34,27
2021-04-01,"AC1204B",35,26
2021-04-01,"AC3104B",14,47
2021-04-01,"AC3105B",27,34
2021-04-01,"AC3106B",39,22
2021-04-01,"AC3107B",38,23
2021-04-01,"AC3191B",37,24
2021-04-01,"AC3192B",13,48
2021-04-01,"AC3193B",9,52
2021-04-01,"ACCS009",52,9
2021-04-01,"AR00067",40,21
2021-04-01,"AR00068",46,15
2021-04-01,"AR00069",49,12
2021-04-01,"ART0082",48,13
2021-04-01,"BOXDT",36,25
2021-04-01,"BOXESR",56,5
2021-04-01,"BOXH",42,19
2021-04-01,"BOXHAR",55,6
2021-04-01,"BOXSER",45,16
2021-04-01,"BOXSIL",47,14
2021-04-01,"BOXVIT",50,11
2021-04-01,"BOXVP",33,28
2021-04-01,"BT4001G",26,35
2021-04-01,"CA1147",28,33
2021-04-01,"CA1148V",11,50
2021-04-01,"CA1159A",2,59
2021-04-01,"CA1160A",7,54
2021-04-01,"CA1161V",17,44
2021-04-01,"CA1162V",19,42
2021-04-01,"CA1163B",21,40
2021-04-01,"CA1165A",8,53
2021-04-01,"CA1166V",16,45
2021-04-01,"CA1167V",12,49
2021-04-01,"CA1201A",6,55
2021-04-01,"CA1202A",5,56
2021-04-01,"CA1301A",3,58
2021-04-01,"CA1302A",1,60
2021-04-01,"CA1303A",4,57
2021-04-01,"CERCHOC",10,51
2021-04-01,"CERFRUI",15,46
2021-04-01,"CERNATU",22,39
2021-04-01,"GLPSO",51,10
2021-04-01,"GOOM002",53,8
2021-04-01,"GOOM003",54,7
2021-04-01,"GOOM005",43,18
2021-04-01,"NEW1",44,17
2021-04-01,"PP2216",41,20
2021-04-01,"PP2217B",24,37
2021-04-01,"PP2218B",30,31
2021-04-01,"PP2224B",31,30
2021-04-01,"PP2272B",23,38
2021-05-01,"AC1160T",27,34
2021-05-01,"AC1161T",30,31
2021-05-01,"AC1163T",18,43
2021-05-01,"AC1201B",19,42
2021-05-01,"AC1202B",32,29
2021-05-01,"AC1203B",34,27
2021-05-01,"AC1204B",35,26
2021-05-01,"AC3104B",14,47
2021-05-01,"AC3105B",28,33
2021-05-01,"AC3106B",39,22
2021-05-01,"AC3107B",37,24
2021-05-01,"AC3191B",40,21
2021-05-01,"AC3192B",12,49
2021-05-01,"AC3193B",9,52
2021-05-01,"ACCS009",59,2
2021-05-01,"AR00067",42,19
2021-05-01,"AR00068",48,13
2021-05-01,"AR00069",49,12
2021-05-01,"ART0082",51,10
2021-05-01,"BOXDIG",52,9
2021-05-01,"BOXDT",36,25
2021-05-01,"BOXESC",55,6
2021-05-01,"BOXESN",60,1
2021-05-01,"BOXH",38,23
2021-05-01,"BOXHAR",54,7
2021-05-01,"BOXSER",46,15
2021-05-01,"BOXSIL",45,16
2021-05-01,"BOXV",43,18
2021-05-01,"BOXVIT",50,11
2021-05-01,"BOXVP",33,28
2021-05-01,"BT4001G",25,36
2021-05-01,"CA1147",26,35
2021-05-01,"CA1148V",11,50
2021-05-01,"CA1159A",2,59
2021-05-01,"CA1160A",6,55
2021-05-01,"CA1161V",16,45
2021-05-01,"CA1162V",22,39
2021-05-01,"CA1163B",20,41
2021-05-01,"CA1165A",8,53
2021-05-01,"CA1166V",17,44
2021-05-01,"CA1167V",13,48
2021-05-01,"CA1201A",7,54
2021-05-01,"CA1202A",5,56
2021-05-01,"CA1301A",3,58
2021-05-01,"CA1302A",1,60
2021-05-01,"CA1303A",4,57
2021-05-01,"CERCHOC",10,51
2021-05-01,"CERFRUI",15,46
2021-05-01,"CERNATU",21,40
2021-05-01,"GLPSO",53,8
2021-05-01,"GOOM002",56,5
2021-05-01,"GOOM003",57,4
2021-05-01,"GOOM005",47,14
2021-05-01,"GOOM006",58,3
2021-05-01,"NEW1",44,17
2021-05-01,"PP2216",41,20
2021-05-01,"PP2217B",24,37
2021-05-01,"PP2218B",29,32
2021-05-01,"PP2224B",31,30
2021-05-01,"PP2272B",23,38
2021-06-01,"AC1160T",29,32
2021-06-01,"AC1161T",18,43
2021-06-01,"AC1163T",19,42
2021-06-01,"AC1201B",22,39
2021-06-01,"AC1202B",32,29
2021-06-01,"AC1203B",34,27
2021-06-01,"AC1204B",36,25
2021-06-01,"AC3104B",14,47
2021-06-01,"AC3105B",28,33
2021-06-01,"AC3106B",38,23
2021-06-01,"AC3107B",40,21
2021-06-01,"AC3191B",41,20
2021-06-01,"AC3192B",12,49
2021-06-01,"AC3193B",9,52
2021-06-01,"ACCS009",58,3
2021-06-01,"AR00067",42,19
2021-06-01,"AR00068",48,13
2021-06-01,"AR00069",50,11
2021-06-01,"ART0082",49,12
2021-06-01,"BOXDT",37,24
2021-06-01,"BOXESC",51,10
2021-06-01,"BOXESN",57,4
2021-06-01,"BOXH",44,17
2021-06-01,"BOXHAR",46,15
2021-06-01,"BOXSER",45,16
2021-06-01,"BOXSIL",47,14
2021-06-01,"BOXV",35,26
2021-06-01,"BOXVIT",52,9
