"code_product","year_month_full","amount"
"PP2272B",2017-08-01,11.74
"SPRAF",2017-08-01,18.77
"AC1160T",2017-09-01,19.24
"AC1163T",2017-09-01,43.86
"AC1201B",2017-09-01,38.22
"AC1202B",2017-09-01,8.82
"AC1203B",2017-09-01,4.11
"AC3104B",2017-09-01,68.66
"AC3105B",2017-09-01,47.36
"AC3106B",2017-09-01,60.27
"AC3192B",2017-09-01,40.23
"AC3193B",2017-09-01,143.99
"CA1148V",2017-09-01,191.72
"CA1159A",2017-09-01,931.72
"CA1160A",2017-09-01,272.45
"CA1162V",2017-09-01,14.16
"CA1163B",2017-09-01,44.63
"CA1165A",2017-09-01,69.8
"CA1166V",2017-09-01,23.66
"CA1167V",2017-09-01,7.7
"CA1201A",2017-09-01,156.76
"CA1202A",2017-09-01,170.69
"CA1301A",2017-09-01,858.29
"CA1302A",2017-09-01,866.52
"CA1303A",2017-09-01,368.74
"MUGDIE",2017-09-01,0
"PP2217B",2017-09-01,17.61
"PP2224B",2017-09-01,10.67
"SPRAF",2017-09-01,56.27
"AC1160T",2017-10-01,29.06
"AC1161T",2017-10-01,8.82
"AC1163T",2017-10-01,34.95
"AC1201B",2017-10-01,29.4
"AC1202B",2017-10-01,0
"AC1203B",2017-10-01,5.88
"AC1204B",2017-10-01,2.43
"AC3104B",2017-10-01,135.25
"AC3105B",2017-10-01,47.11
"AC3106B",2017-10-01,105.15
"AC3107B",2017-10-01,11.02
"AC3192B",2017-10-01,102.86
"AC3193B",2017-10-01,148.45
"BOXV",2017-10-01,70.14
"BT4001G",2017-10-01,19.12
"CA1148V",2017-10-01,213.66
"CA1159A",2017-10-01,1289.48
"CA1160A",2017-10-01,242.1
"CA1161V",2017-10-01,11.15
"CA1162V",2017-10-01,18.88
"CA1163B",2017-10-01,35.71
"CA1165A",2017-10-01,150.09
"CA1166V",2017-10-01,79.29
"CA1201A",2017-10-01,395.7
"CA1202A",2017-10-01,380.04
"CA1301A",2017-10-01,555.95
"CA1302A",2017-10-01,1351.92
"CA1303A",2017-10-01,417.12
"GLPSO",2017-10-01,4.7
"LIVREC",2017-10-01,0
"PP2217B",2017-10-01,12.63
"PP2218B",2017-10-01,0
"PP2224B",2017-10-01,7.93
"PP2272B",2017-10-01,14.09
"SPRAF",2017-10-01,26.27
"AC1160T",2017-11-01,33.14
"AC1163T",2017-11-01,69.74
"AC1201B",2017-11-01,96.18
"AC1202B",2017-11-01,9.78
"AC1203B",2017-11-01,19.98
"AC1204B",2017-11-01,5.88
"AC3104B",2017-11-01,81.53
"AC3105B",2017-11-01,141.46
"AC3106B",2017-11-01,108.76
"AC3107B",2017-11-01,10.49
"AC3192B",2017-11-01,108.66
